k,depth,random_state,accuracy_train,accuracy_test,discrimination_train,discrimination_train_pred,discrimination_test,min_supp,clf.tree_,discrimination_relab_1,accuracy_relab_1,discrimination_relab_2,accuracy_relab_2,discrimination_relab_3,accuracy_relab_3,discrimination_relab_0.0,accuracy_relab_0.0,discrimination_relab_0.1,accuracy_relab_0.1,discrimination_relab_0.2,accuracy_relab_0.2,discrimination_relab_0.3,accuracy_relab_0.3
0,1,63,0.74162679,0.78846153,0.3316689,0.18743998,0.13690476,2,<sklearn.tree._tree.Tree object at 0x7ff32333bf10>,0.0,0.5789,-0.18743999,0.2583,-0.18743999,0.2583,0.0,0.5789,0.0,0.5789,0.18743998,0.7416,0.18743998,0.7416
0,1,65,0.77033493,0.67307692,0.33595825,0.18681214,0.14592933,2,<sklearn.tree._tree.Tree object at 0x7ff32333bf10>,0.0,0.6124,-0.18681215,0.2296,-0.18681215,0.2296,0.0,0.6124,0.0,0.6124,0.18681214,0.7703,0.18681214,0.7703
0,1,67,0.784689,0.61538461,0.27425963,0.18485751,0.14954954,2,<sklearn.tree._tree.Tree object at 0x7ff32333bf10>,0.0,0.6363,-0.18485752,0.2153,-0.18485752,0.2153,0.0,0.6363,0.0,0.6363,0.18485751,0.7846,0.18485751,0.7846
0,1,69,0.76555024,0.69230769,0.27237827,0.19672284,0.11260504,2,<sklearn.tree._tree.Tree object at 0x7ff32333bf10>,0.0,0.6076,-0.19672285,0.2344,-0.19672285,0.2344,0.0,0.6076,0.0,0.6076,0.19672284,0.7655,0.19672284,0.7655
0,1,73,0.74641148,0.57692307,0.28519924,0.12751423,-0.11674348,2,<sklearn.tree._tree.Tree object at 0x7ff32333bf10>,0.0,0.5837,-0.12751424,0.2535,-0.12751424,0.2535,0.0,0.5837,0.0,0.5837,0.12751423,0.7464,0.12751423,0.7464
0,1,75,0.74641148,0.76923076,0.31151685,0.14382022,0.31428571,2,<sklearn.tree._tree.Tree object at 0x7ff32333bf10>,0.0,0.6076,-0.14382023,0.2535,-0.14382023,0.2535,0.0,0.6076,0.0,0.6076,0.14382022,0.7464,0.14382022,0.7464
0,1,77,0.77990431,0.63461538,0.32941176,0.19654528,0.13888888,2,<sklearn.tree._tree.Tree object at 0x7ff32333bf10>,0.0,0.6124,-0.19654529,0.22,-0.19654529,0.22,0.0,0.6124,0.0,0.6124,0.19654528,0.7799,0.19654528,0.7799
0,1,79,0.73205742,0.63461538,0.27647058,0.05626185,0.17050691,2,<sklearn.tree._tree.Tree object at 0x7ff32333bf10>,0.0,0.6124,-0.05626186,0.2679,-0.05626186,0.2679,0.0,0.6124,0.05626185,0.732,0.05626185,0.732,0.05626185,0.732
0,1,81,0.73684211,0.8076923,0.35028089,0.20505617,0.08403361,2,<sklearn.tree._tree.Tree object at 0x7ff32333bf10>,0.0,0.5741,-0.20505618,0.2631,-0.20505618,0.2631,0.0,0.5741,0.0,0.5741,0.0,0.5741,0.20505617,0.7368
0,1,83,0.74162679,0.78846153,0.30961904,0.17619047,0.19696969,2,<sklearn.tree._tree.Tree object at 0x7ff32333bf10>,0.0,0.6124,-0.17619048,0.2583,-0.17619048,0.2583,0.0,0.6124,0.0,0.6124,0.17619047,0.7416,0.17619047,0.7416
0,1,85,0.75119617,0.75,0.33780991,0.18285123,0.17647058,2,<sklearn.tree._tree.Tree object at 0x7ff32333bf10>,0.0,0.5885,-0.18285124,0.2488,-0.18285124,0.2488,0.0,0.5885,0.0,0.5885,0.18285123,0.7511,0.18285123,0.7511
0,1,87,0.75119617,0.75,0.25521132,0.16226812,0.25787106,2,<sklearn.tree._tree.Tree object at 0x7ff32333bf10>,0.0,0.6172,-0.16226813,0.2488,-0.16226813,0.2488,0.0,0.6172,0.0,0.6172,0.16226812,0.7511,0.16226812,0.7511
0,1,89,0.75119617,0.75,0.31899024,0.16609294,0.2323838,2,<sklearn.tree._tree.Tree object at 0x7ff32333bf10>,0.0,0.6028,-0.16609295,0.2488,-0.16609295,0.2488,0.0,0.6028,0.0,0.6028,0.16609294,0.7511,0.16609294,0.7511
0,1,93,0.73205742,0.82692307,0.29855371,0.14979338,0.29411764,2,<sklearn.tree._tree.Tree object at 0x7ff32333bf10>,0.0,0.5885,-0.14979339,0.2679,-0.14979339,0.2679,0.0,0.5885,0.0,0.5885,0.14979338,0.732,0.14979338,0.732
0,1,95,0.74641148,0.76923076,0.35377802,0.25409836,-0.14194578,2,<sklearn.tree._tree.Tree object at 0x7ff32333bf10>,0.0,0.598,-0.25409837,0.2535,-0.25409837,0.2535,0.0,0.598,0.0,0.598,0.0,0.598,0.25409836,0.7464
0,1,97,0.76076555,0.71153846,0.34263565,0.19806201,0.07692307,2,<sklearn.tree._tree.Tree object at 0x7ff32333bf10>,0.0,0.5885,-0.19806202,0.2392,-0.19806202,0.2392,0.0,0.5885,0.0,0.5885,0.19806201,0.7607,0.19806201,0.7607
0,1,99,0.76076555,0.71153846,0.36037309,0.20651969,0.05422647,2,<sklearn.tree._tree.Tree object at 0x7ff32333bf10>,0.0,0.6172,-0.2065197,0.2392,-0.2065197,0.2392,0.0,0.6172,0.0,0.6172,0.0,0.6172,0.20651969,0.7607
0,2,1,0.85167464,0.88461538,0.32561904,0.23057142,0.16969696,2,<sklearn.tree._tree.Tree object at 0x7ff3204d5e30>,0.07409523,0.6985,0.0,0.6028,-0.23057143,0.1483,-0.23057143,0.1483,0.07409523,0.6985,0.07409523,0.6985,0.23057142,0.8516
0,2,3,0.85645933,0.86538461,0.30436432,0.21897533,0.21505376,2,<sklearn.tree._tree.Tree object at 0x7ff3204d5e30>,-0.01555978,0.6937,-0.23453511,0.2296,-0.23453511,0.2296,-0.01555978,0.6937,-0.01555978,0.6937,-0.01555978,0.6937,0.21897533,0.8564
0,2,5,0.85167464,0.88461538,0.32456308,0.20616477,0.27380952,2,<sklearn.tree._tree.Tree object at 0x7ff3204d5e30>,0.0265988,0.6937,-0.17956597,0.2344,-0.20616478,0.1483,-0.17956597,0.2344,0.0265988,0.6937,0.0265988,0.6937,0.20616477,0.8516
0,2,7,0.86124402,0.84615384,0.29078217,0.22231784,0.20389805,2,<sklearn.tree._tree.Tree object at 0x7ff3204d5e30>,0.03652706,0.6889,-0.18579079,0.244,-0.22231785,0.1387,-0.18579079,0.244,0.03652706,0.6889,0.03652706,0.6889,0.22231784,0.8612
0,2,9,0.73684211,0.78846153,0.3161157,0.13636363,0.29738562,2,<sklearn.tree._tree.Tree object at 0x7ff3204d5e30>,0.0,0.6124,-0.02272728,0.5885,-0.14876034,0.2679,0.0,0.6124,0.0,0.6124,0.13636363,0.7368,0.13636363,0.7368
